gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,high school,standard,none,83,77,74
male,group C,associate's degree,standard,none,71,73,70
male,group C,associate's degree,standard,none,76,56,60
male,group B,bachelor's degree,standard,none,54,57,51
male,group B,some college,standard,completed,78,71,79
male,group C,bachelor's degree,standard,none,74,75,68
male,group C,high school,standard,completed,82,69,74
female,group E,associate's degree,standard,completed,71,68,75
female,group D,some high school,free/reduced,none,65,79,79
female,group B,bachelor's degree,standard,none,63,77,77
female,group B,some high school,standard,none,76,86,80
male,group C,some college,free/reduced,none,65,64,63
male,group B,master's degree,standard,none,63,64,60
male,group D,some high school,standard,completed,69,61,67
female,group C,some college,free/reduced,completed,44,57,58
female,group C,some college,free/reduced,none,58,70,66
female,group D,some college,free/reduced,none,64,75,76
female,group C,high school,standard,none,79,86,81
male,group C,some high school,standard,none,59,53,54
female,group E,master's degree,free/reduced,none,35,54,48
female,group B,high school,standard,none,68,76,74
male,group E,associate's degree,free/reduced,completed,74,76,73
female,group E,some college,free/reduced,none,62,71,67
male,group D,some high school,standard,none,66,69,67
male,group E,some high school,free/reduced,completed,59,60,54
male,group C,some college,standard,none,68,66,70
male,group B,associate's degree,standard,none,53,48,46
male,group C,bachelor's degree,standard,none,69,51,52
female,group D,high school,free/reduced,completed,70,70,76
female,group D,master's degree,standard,none,54,58,59
male,group C,some high school,standard,completed,72,67,69
female,group E,associate's degree,standard,none,74,76,77
male,group D,some high school,free/reduced,none,41,40,36
male,group D,bachelor's degree,standard,none,90,86,81
female,group C,some high school,free/reduced,completed,45,59,61
male,group B,associate's degree,free/reduced,none,56,68,58
female,group C,some college,free/reduced,none,44,56,44
female,group C,bachelor's degree,standard,completed,83,98,91
male,group C,master's degree,standard,completed,71,73,72
male,group C,associate's degree,free/reduced,none,61,60,61
male,group B,some high school,standard,none,88,72,72
female,group A,high school,standard,none,61,64,64
male,group D,high school,standard,none,57,65,63
female,group B,some high school,standard,completed,92,94,98
male,group B,some college,standard,none,73,72,70
female,group C,associate's degree,standard,completed,69,79,78
male,group D,some high school,free/reduced,completed,49,45,55
female,group C,master's degree,standard,none,46,53,57
male,group D,bachelor's degree,standard,completed,81,64,67
female,group C,bachelor's degree,standard,completed,57,57,66
male,group C,high school,standard,none,92,83,77
male,group D,some high school,standard,completed,92,100,96
male,group A,high school,free/reduced,completed,58,62,56
female,group B,some high school,standard,none,63,76,75
female,group C,bachelor's degree,standard,none,71,74,78
male,group D,some high school,free/reduced,none,36,37,26
female,group C,high school,standard,none,72,75,78
male,group D,some college,free/reduced,none,70,58,64
female,group C,some college,standard,completed,63,70,72
female,group D,some high school,free/reduced,completed,64,73,77
male,group B,master's degree,standard,none,78,72,72
female,group D,some college,free/reduced,none,69,83,77
female,group D,some high school,standard,none,51,58,58
female,group D,associate's degree,standard,none,92,91,94
female,group C,associate's degree,free/reduced,completed,44,48,49
female,group B,some high school,standard,none,82,87,86
female,group E,some high school,free/reduced,completed,68,75,72
male,group C,some high school,standard,none,60,57,53
female,group B,high school,standard,none,60,70,65
male,group C,some college,standard,completed,92,89,92
male,group D,high school,standard,completed,100,86,92
female,group A,some high school,free/reduced,completed,49,53,61
female,group E,some college,standard,completed,77,84,83
male,group C,bachelor's degree,free/reduced,none,65,56,55
male,group B,associate's degree,standard,completed,69,64,70
female,group C,high school,standard,none,72,83,77
male,group B,master's degree,standard,none,57,54,50
female,group D,master's degree,free/reduced,completed,51,62,68
female,group C,associate's degree,standard,completed,79,83,88
female,group D,associate's degree,standard,none,86,94,100
male,group C,some high school,free/reduced,none,51,58,45
male,group D,master's degree,standard,none,70,57,62
male,group C,some college,free/reduced,completed,46,53,55
female,group D,associate's degree,standard,none,88,99,100
male,group C,associate's degree,free/reduced,completed,82,84,79
male,group B,bachelor's degree,free/reduced,none,51,42,36
male,group A,associate's degree,standard,none,61,55,53
female,group C,high school,free/reduced,none,44,61,54
male,group B,high school,standard,completed,74,70,72
female,group D,associate's degree,free/reduced,completed,72,86,88
female,group B,some high school,free/reduced,none,39,39,42
female,group C,some college,standard,none,59,65,66
female,group A,high school,standard,none,55,74,63
male,group B,bachelor's degree,standard,none,57,52,61
male,group B,high school,standard,none,75,77,72
male,group B,bachelor's degree,free/reduced,completed,68,78,77
female,group B,associate's degree,standard,none,70,81,73
female,group C,associate's degree,free/reduced,none,37,39,43
female,group E,some high school,free/reduced,none,63,54,52
female,group B,high school,standard,none,73,76,76
male,group C,bachelor's degree,standard,completed,80,69,74
female,group D,master's degree,standard,completed,59,63,76
male,group E,associate's degree,free/reduced,none,54,55,51
female,group C,associate's degree,free/reduced,completed,83,96,94
female,group E,master's degree,standard,none,54,58,62
male,group C,some college,standard,completed,55,50,49
male,group D,associate's degree,standard,completed,83,66,72
female,group B,bachelor's degree,standard,none,77,73,73
male,group C,some high school,standard,completed,60,71,63
female,group E,some college,free/reduced,none,57,68,63
male,group E,high school,free/reduced,none,55,49,45
female,group D,some high school,free/reduced,none,45,52,57
male,group E,some college,free/reduced,completed,66,63,66
female,group E,some college,free/reduced,none,71,86,85
female,group C,some college,free/reduced,none,52,66,65
female,group D,some college,standard,none,46,51,57
female,group D,high school,free/reduced,none,59,61,61
male,group E,high school,standard,none,61,47,41
female,group B,high school,standard,completed,72,81,83
female,group D,high school,standard,none,59,77,70
female,group C,some high school,standard,none,43,55,49
female,group C,some high school,standard,completed,76,95,94
female,group D,some college,standard,completed,78,86,90
male,group E,master's degree,standard,none,91,79,74
female,group E,some high school,free/reduced,completed,58,73,70
male,group E,some college,free/reduced,none,75,62,55
male,group A,high school,standard,completed,41,45,38
female,group E,some college,standard,none,66,72,75
male,group B,some high school,standard,none,69,70,58
male,group C,high school,standard,completed,96,89,92
female,group D,some college,free/reduced,none,53,68,68
male,group B,associate's degree,free/reduced,none,66,67,57
male,group C,associate's degree,free/reduced,none,50,50,46
male,group B,some high school,free/reduced,completed,64,77,70
female,group E,some college,standard,none,69,76,71
female,group C,associate's degree,standard,none,56,72,70
male,group C,some high school,standard,none,75,70,68
male,group C,some college,standard,none,68,70,66
male,group C,master's degree,standard,none,59,63,64
male,group D,associate's degree,free/reduced,none,79,64,66
male,group D,associate's degree,free/reduced,none,63,72,65
female,group C,associate's degree,standard,none,75,90,89
male,group D,high school,standard,none,67,64,64
male,group D,high school,standard,completed,75,80,74
male,group A,bachelor's degree,free/reduced,none,62,61,57
male,group D,some college,standard,completed,47,53,50
male,group C,some college,free/reduced,none,79,72,71
male,group B,master's degree,standard,none,64,65,64
male,group C,some high school,standard,completed,92,70,74
male,group D,some high school,standard,none,91,79,80
male,group A,high school,standard,none,88,83,72
male,group D,high school,free/reduced,none,82,76,78
female,group B,some college,free/reduced,completed,58,77,73
male,group E,bachelor's degree,standard,none,96,86,76
female,group A,high school,standard,none,65,77,69
male,group C,bachelor's degree,standard,completed,61,66,65
female,group C,high school,standard,none,36,51,44
female,group A,bachelor's degree,standard,none,65,68,71
male,group D,associate's degree,standard,completed,92,90,87
female,group D,high school,free/reduced,completed,35,48,45
female,group B,master's degree,standard,none,96,100,99
female,group C,some college,free/reduced,completed,55,67,71
female,group C,high school,free/reduced,none,64,75,74
male,group C,some college,standard,none,42,41,42
male,group D,associate's degree,free/reduced,none,53,44,42
male,group C,some high school,standard,none,75,73,68
female,group E,associate's degree,free/reduced,none,58,61,63
female,group E,some college,free/reduced,none,65,67,66
female,group D,high school,standard,none,47,58,61
female,group B,high school,free/reduced,none,67,77,71
male,group D,associate's degree,standard,none,78,70,70
male,group D,high school,free/reduced,completed,65,62,62
female,group E,some college,free/reduced,none,47,61,59
male,group D,some college,standard,completed,66,72,73
female,group D,bachelor's degree,standard,none,56,70,74
female,group B,associate's degree,standard,none,60,70,69
female,group B,some high school,free/reduced,completed,48,66,62
female,group D,some high school,standard,none,85,80,81
male,group B,master's degree,standard,none,94,87,80
male,group D,associate's degree,free/reduced,none,67,65,59
female,group C,associate's degree,free/reduced,none,48,65,64
female,group E,high school,standard,none,88,98,95
female,group E,high school,standard,none,68,62,63
female,group B,associate's degree,standard,none,50,60,60
female,group B,associate's degree,standard,none,76,86,86
male,group D,some high school,standard,none,75,62,61
male,group D,some college,free/reduced,none,58,65,53
male,group B,some high school,standard,none,56,60,57
female,group A,some high school,standard,none,71,82,79
male,group B,associate's degree,free/reduced,none,31,35,28
female,group C,some high school,free/reduced,none,54,71,64
female,group C,associate's degree,standard,none,67,75,76
female,group C,associate's degree,standard,none,70,69,72
female,group E,associate's degree,free/reduced,none,56,74,64
female,group E,bachelor's degree,free/reduced,none,70,62,63
female,group D,high school,standard,completed,85,81,89
male,group C,high school,standard,none,69,62,56
female,group D,high school,standard,completed,92,100,100
male,group B,some college,standard,none,64,72,62
male,group D,some high school,standard,completed,74,66,67
female,group D,associate's degree,standard,none,74,73,78
male,group E,high school,free/reduced,completed,72,71,70
female,group B,associate's degree,standard,none,66,78,75
male,group A,master's degree,standard,completed,59,60,52
female,group B,some high school,free/reduced,none,70,78,81
male,group B,high school,free/reduced,completed,72,75,69
male,group D,high school,standard,none,77,71,68
male,group B,some high school,standard,none,86,68,66
female,group E,high school,free/reduced,none,56,64,62
male,group D,bachelor's degree,standard,completed,75,79,80
female,group B,bachelor's degree,standard,none,80,97,93
female,group E,high school,standard,none,72,84,81
male,group B,high school,free/reduced,none,50,53,54
female,group A,bachelor's degree,standard,none,93,96,92
female,group C,master's degree,free/reduced,completed,58,72,75
male,group C,bachelor's degree,standard,completed,82,78,82
female,group A,some high school,free/reduced,none,26,37,33
female,group D,some college,standard,completed,66,80,85
female,group A,bachelor's degree,standard,none,75,89,85
male,group E,associate's degree,free/reduced,none,64,62,58
male,group A,bachelor's degree,standard,none,60,68,60
female,group D,some high school,standard,none,58,61,58
female,group C,some college,standard,none,83,92,88
male,group D,some high school,free/reduced,none,29,37,31
male,group C,high school,free/reduced,none,60,60,58
female,group E,high school,free/reduced,none,62,79,75
female,group E,high school,standard,none,64,68,68
female,group B,high school,free/reduced,none,60,61,66
male,group C,associate's degree,standard,none,85,80,78
male,group C,bachelor's degree,standard,none,67,65,62
male,group E,some high school,standard,none,57,51,45
female,group C,associate's degree,standard,none,74,75,79
male,group C,some high school,free/reduced,none,43,42,42
male,group A,high school,free/reduced,none,48,51,53
male,group D,associate's degree,standard,completed,73,71,76
female,group E,master's degree,standard,none,67,92,88
female,group C,bachelor's degree,free/reduced,completed,66,78,87
male,group B,associate's degree,free/reduced,none,64,75,70
male,group D,some college,free/reduced,none,66,57,58
female,group C,high school,standard,none,80,76,79
female,group A,some college,standard,none,54,67,63
male,group A,some college,standard,none,77,66,64
female,group E,associate's degree,standard,none,64,72,61
female,group D,some college,standard,completed,92,100,99
male,group C,high school,standard,completed,70,55,55
male,group E,bachelor's degree,free/reduced,none,75,61,59
female,group C,some college,standard,none,69,73,77
female,group C,some college,standard,completed,88,100,100
male,group E,some college,standard,completed,88,86,83
female,group D,some high school,free/reduced,none,44,63,60
male,group D,some college,free/reduced,completed,52,66,67
male,group E,high school,standard,completed,53,47,47
female,group E,some college,standard,none,82,90,86
male,group B,bachelor's degree,standard,none,78,75,69
male,group D,bachelor's degree,standard,none,62,55,54
male,group D,some college,standard,none,76,67,66
male,group B,some high school,standard,completed,68,65,67
male,group D,high school,standard,none,98,83,80
male,group D,associate's degree,free/reduced,none,82,72,73
female,group D,high school,standard,completed,62,66,68
male,group D,some high school,free/reduced,none,48,54,45
male,group E,high school,standard,completed,80,66,70
female,group C,high school,standard,completed,82,97,93
female,group C,high school,free/reduced,completed,58,73,72
male,group C,some college,standard,none,59,51,57
male,group B,some high school,standard,none,54,47,49
male,group C,associate's degree,standard,completed,93,88,90
female,group B,some college,free/reduced,completed,43,56,56
female,group A,some high school,free/reduced,none,42,56,50
male,group D,high school,standard,completed,97,87,87
male,group C,bachelor's degree,standard,completed,69,65,68
male,group E,associate's degree,standard,none,72,45,43
male,group D,some high school,standard,completed,84,70,73
female,group D,associate's degree,standard,none,85,89,89
male,group C,associate's degree,standard,completed,79,91,83
female,group C,some college,standard,none,66,64,66
female,group C,high school,standard,none,66,62,61
female,group C,some college,standard,completed,60,71,78
female,group C,high school,standard,none,52,76,73
male,group C,some high school,standard,none,83,84,76
male,group C,associate's degree,standard,completed,76,77,80
female,group C,some college,free/reduced,none,56,68,66
male,group D,associate's degree,standard,none,66,59,51
female,group C,master's degree,standard,none,75,83,83
female,group D,high school,standard,completed,66,76,77
male,group B,high school,standard,none,74,64,65
male,group E,master's degree,standard,none,59,47,48
male,group E,some college,standard,completed,100,96,94
female,group B,high school,standard,none,69,79,80
male,group A,some college,free/reduced,none,66,61,63
male,group D,high school,standard,none,66,67,62
male,group D,high school,standard,none,72,72,71
male,group D,some college,standard,none,74,60,61
male,group E,some college,standard,none,87,68,61
female,group D,associate's degree,free/reduced,none,52,64,57
female,group B,some college,standard,none,54,58,63
male,group A,some high school,free/reduced,none,58,57,50
female,group C,some high school,free/reduced,none,66,73,68
female,group B,associate's degree,standard,completed,76,91,93
female,group C,associate's degree,standard,none,87,90,92
female,group C,associate's degree,standard,none,65,84,78
female,group D,some college,standard,none,72,83,84
female,group A,associate's degree,standard,none,61,69,64
male,group E,master's degree,standard,completed,93,87,86
female,group B,some high school,standard,none,47,43,52
female,group A,associate's degree,standard,none,83,93,90
female,group C,high school,standard,none,66,80,72
female,group C,high school,standard,completed,59,70,74
male,group D,master's degree,free/reduced,completed,89,98,94
male,group E,bachelor's degree,free/reduced,none,57,56,48
male,group C,some college,standard,completed,70,67,66
female,group E,some high school,free/reduced,none,60,69,60
male,group A,master's degree,standard,none,53,58,54
male,group E,associate's degree,free/reduced,completed,58,58,56
male,group C,high school,free/reduced,none,60,73,61
female,group C,some college,standard,none,50,50,51
male,group D,some high school,free/reduced,completed,81,83,81
female,group D,some college,free/reduced,none,82,89,91
female,group A,high school,standard,completed,41,51,56
male,group C,some high school,standard,none,53,41,37
female,group E,bachelor's degree,standard,completed,78,84,86
male,group C,high school,free/reduced,none,49,46,45
male,group C,bachelor's degree,free/reduced,none,79,77,78
male,group C,associate's degree,standard,completed,72,72,76
female,group D,bachelor's degree,standard,none,56,73,78
female,group E,some college,standard,none,47,46,53
male,group C,high school,free/reduced,completed,49,62,56
female,group D,some high school,standard,completed,66,76,77
male,group C,some college,standard,none,76,70,65
male,group E,bachelor's degree,free/reduced,none,73,64,62
female,group E,some college,standard,none,54,58,54
male,group A,some high school,standard,completed,80,75,76
male,group E,associate's degree,free/reduced,none,58,53,45
male,group D,associate's degree,standard,completed,83,70,71
male,group D,bachelor's degree,standard,completed,86,78,82
female,group A,some high school,free/reduced,none,74,79,83
male,group D,bachelor's degree,standard,none,62,66,61
female,group C,some college,standard,none,69,75,74
female,group E,associate's degree,free/reduced,none,70,74,65
male,group B,some college,standard,none,73,74,75
female,group C,bachelor's degree,standard,none,74,86,86
male,group D,associate's degree,standard,none,57,54,50
female,group C,high school,free/reduced,completed,42,48,51
female,group B,associate's degree,standard,none,45,52,51
male,group C,some college,standard,none,79,73,71
female,group D,some high school,standard,completed,56,63,70
female,group D,some college,standard,completed,76,85,86
male,group C,some high school,standard,none,58,61,52
male,group E,master's degree,standard,none,99,76,76
male,group D,some college,standard,none,84,82,78
male,group A,high school,standard,none,66,59,51
male,group D,bachelor's degree,free/reduced,completed,75,73,72
male,group B,associate's degree,standard,none,70,75,69
female,group B,associate's degree,standard,none,69,72,74
female,group C,some high school,free/reduced,completed,66,81,81
male,group B,bachelor's degree,free/reduced,completed,94,96,90
male,group D,associate's degree,free/reduced,none,62,62,65
male,group D,some high school,free/reduced,completed,37,37,40
female,group C,master's degree,free/reduced,none,66,86,82
male,group D,some high school,free/reduced,none,38,48,41
female,group D,associate's degree,standard,none,68,70,67
female,group A,some high school,standard,completed,64,78,74
female,group E,bachelor's degree,standard,none,52,51,56
male,group B,bachelor's degree,standard,none,74,78,75
female,group E,high school,standard,none,86,87,79
female,group C,associate's degree,free/reduced,none,56,66,61
female,group B,some high school,standard,none,59,71,69
male,group C,high school,standard,none,85,75,72
female,group E,some college,standard,none,67,72,68
female,group B,master's degree,standard,completed,71,91,91
male,group D,associate's degree,standard,none,73,75,78
male,group D,master's degree,free/reduced,completed,60,50,56
female,group C,some high school,free/reduced,completed,63,64,65
male,group E,bachelor's degree,standard,none,90,77,69
female,group D,master's degree,free/reduced,none,46,55,61
male,group C,some high school,free/reduced,none,38,40,36
male,group E,associate's degree,standard,completed,99,88,87
female,group D,high school,standard,none,83,89,83
male,group C,high school,free/reduced,none,50,51,44
female,group B,high school,free/reduced,completed,45,49,49
male,group C,master's degree,free/reduced,none,70,68,69
male,group A,some high school,standard,completed,66,52,56
male,group E,bachelor's degree,standard,completed,74,57,66
female,group C,some high school,standard,none,57,68,68
female,group E,associate's degree,standard,none,86,89,83
male,group C,some high school,free/reduced,none,71,69,68
female,group C,some college,standard,completed,72,79,84
male,group E,bachelor's degree,standard,none,99,100,98
male,group B,bachelor's degree,free/reduced,none,84,84,74
male,group D,some college,standard,none,84,74,68
female,group B,bachelor's degree,standard,none,79,89,91
female,group C,some college,standard,none,53,64,56
male,group B,high school,standard,none,57,53,51
female,group D,high school,standard,none,64,74,75
male,group C,high school,standard,completed,58,52,54
female,group D,master's degree,standard,completed,77,84,93
female,group D,some college,free/reduced,none,55,56,61
male,group D,some college,standard,none,78,73,67
female,group A,some college,free/reduced,none,42,52,55
female,group C,some college,free/reduced,none,39,43,43
female,group D,associate's degree,standard,completed,59,59,62
female,group C,master's degree,standard,none,63,64,65
female,group B,bachelor's degree,standard,none,96,100,91
female,group B,some high school,free/reduced,none,47,53,48
male,group B,some high school,standard,none,64,58,56
male,group A,associate's degree,standard,none,75,62,56
male,group B,some high school,standard,none,73,70,72
female,group C,some high school,standard,none,75,82,76
male,group A,high school,standard,completed,90,98,86
female,group B,bachelor's degree,free/reduced,completed,62,67,68
female,group C,bachelor's degree,standard,none,80,93,100
female,group E,high school,free/reduced,none,61,69,65
female,group D,master's degree,standard,completed,96,100,100
female,group C,some high school,standard,none,41,53,49
female,group D,associate's degree,standard,none,44,50,53
female,group D,high school,standard,none,45,57,55
female,group E,associate's degree,standard,none,64,76,74
female,group A,some high school,standard,none,46,54,53
male,group D,high school,free/reduced,completed,88,89,89
male,group C,high school,standard,none,75,72,71
male,group D,some college,standard,completed,80,74,82
male,group D,master's degree,standard,none,76,83,80
female,group B,associate's degree,standard,none,66,77,71
female,group C,some college,free/reduced,completed,26,46,47
male,group C,high school,standard,none,75,71,60
male,group C,some college,standard,completed,96,87,88
female,group C,bachelor's degree,standard,completed,73,81,82
male,group E,bachelor's degree,standard,none,73,51,59
female,group B,high school,free/reduced,completed,72,78,80
male,group E,bachelor's degree,standard,completed,100,96,95
male,group A,some college,standard,none,81,75,72
male,group A,high school,standard,completed,72,68,63
female,group B,bachelor's degree,free/reduced,completed,48,66,66
male,group E,some college,standard,completed,85,85,87
female,group D,some college,free/reduced,completed,73,71,82
female,group B,associate's degree,standard,completed,88,88,91
male,group E,some college,free/reduced,none,90,80,81
female,group E,some college,standard,none,94,100,100
male,group B,associate's degree,standard,none,85,79,77
male,group A,some college,standard,completed,78,73,77
female,group B,some college,free/reduced,none,48,60,57
male,group C,associate's degree,standard,none,65,56,53
male,group C,high school,standard,completed,76,74,74
male,group E,master's degree,standard,none,100,100,100
female,group C,high school,standard,none,35,39,39
female,group B,some college,free/reduced,completed,67,83,85
female,group D,high school,standard,none,67,75,69
male,group B,some college,standard,none,66,52,54
male,group A,associate's degree,standard,none,89,91,86
male,group E,high school,standard,none,73,65,62
female,group C,high school,free/reduced,completed,56,61,65
male,group B,some high school,standard,completed,66,53,58
female,group C,high school,standard,completed,75,89,89
female,group C,high school,free/reduced,none,57,69,62
female,group C,associate's degree,standard,none,68,79,77
female,group B,high school,standard,none,92,91,89
female,group C,bachelor's degree,standard,none,57,57,62
female,group A,some college,free/reduced,none,53,81,81
male,group C,some high school,free/reduced,completed,57,54,53
male,group C,some college,standard,completed,47,46,51
male,group E,some college,standard,none,91,69,70
female,group B,some college,free/reduced,none,46,62,60
male,group E,associate's degree,free/reduced,completed,86,88,90
female,group D,some high school,free/reduced,none,46,60,51
female,group C,associate's degree,standard,completed,54,68,64
male,group E,high school,standard,completed,91,81,86
female,group C,associate's degree,standard,none,68,67,66
female,group E,high school,standard,none,78,72,70
male,group E,bachelor's degree,standard,none,71,60,61
female,group C,some high school,standard,completed,68,86,88
female,group C,high school,free/reduced,none,41,55,50
female,group D,some college,standard,completed,79,88,89
female,group A,some high school,standard,completed,64,81,82
male,group C,high school,free/reduced,none,39,35,29
female,group A,master's degree,free/reduced,none,51,60,56
male,group D,associate's degree,free/reduced,none,50,52,54
female,group E,associate's degree,free/reduced,completed,69,86,83
female,group C,some college,free/reduced,completed,66,92,86
male,group C,associate's degree,free/reduced,none,57,63,59
female,group B,high school,standard,none,41,48,46
female,group D,high school,free/reduced,completed,46,56,58
male,group C,bachelor's degree,free/reduced,none,48,51,46
female,group C,associate's degree,free/reduced,none,51,69,65
male,group E,master's degree,standard,completed,100,100,100
female,group C,bachelor's degree,standard,none,85,84,80
male,group E,some college,free/reduced,none,45,37,36
female,group D,high school,standard,none,74,91,89
female,group E,some college,standard,none,86,96,89
male,group C,associate's degree,free/reduced,none,61,60,53
male,group E,some college,free/reduced,completed,62,61,59
female,group B,bachelor's degree,standard,completed,78,94,96
male,group A,bachelor's degree,standard,completed,65,63,71
female,group B,some high school,free/reduced,none,50,70,67
female,group C,some college,standard,completed,62,64,73
female,group E,high school,standard,none,73,72,74
male,group B,associate's degree,standard,none,63,67,66
male,group C,some college,standard,completed,98,97,90
male,group E,some college,standard,completed,89,93,92
female,group B,bachelor's degree,standard,none,65,81,80
male,group E,high school,free/reduced,none,61,50,51
male,group B,associate's degree,standard,none,67,65,59
female,group C,some high school,free/reduced,completed,51,54,54
male,group C,associate's degree,standard,completed,73,68,74
female,group A,bachelor's degree,standard,completed,70,85,92
male,group B,bachelor's degree,standard,none,62,58,60
male,group C,master's degree,standard,none,79,79,72
female,group D,some college,standard,completed,94,99,100
female,group B,some college,free/reduced,none,48,52,50
female,group E,some high school,standard,none,65,67,65
male,group D,some high school,standard,none,75,70,63
male,group E,bachelor's degree,free/reduced,none,80,66,70
female,group B,high school,free/reduced,completed,58,64,62
male,group B,bachelor's degree,free/reduced,none,85,82,77
female,group B,some high school,standard,none,75,83,77
female,group E,bachelor's degree,standard,completed,84,97,97
male,group C,high school,free/reduced,none,70,70,62
female,group B,some college,standard,none,60,75,72
male,group D,some college,standard,none,49,38,35
male,group C,high school,free/reduced,completed,59,55,56
male,group E,some college,standard,completed,73,65,66
male,group B,some college,free/reduced,none,66,66,66
male,group C,some college,standard,none,91,81,80
male,group D,some college,free/reduced,none,53,45,49
male,group C,some college,free/reduced,completed,51,54,59
male,group C,high school,free/reduced,none,60,55,52
male,group B,some college,free/reduced,none,60,55,43
male,group C,some high school,standard,none,67,57,52
female,group B,some high school,standard,none,61,61,57
male,group D,high school,standard,none,49,44,41
male,group C,high school,free/reduced,none,54,46,45
female,group C,associate's degree,standard,completed,75,79,86
male,group C,some high school,standard,none,81,83,75
female,group B,some college,free/reduced,none,77,92,84
male,group A,some high school,standard,none,38,45,47
female,group C,some college,standard,completed,83,100,98
female,group B,some college,free/reduced,none,42,52,52
female,group B,high school,free/reduced,none,38,42,47
female,group B,master's degree,standard,completed,70,77,79
female,group D,associate's degree,free/reduced,none,63,78,81
male,group D,bachelor's degree,standard,completed,88,81,93
male,group B,some college,standard,none,78,73,65
female,group B,associate's degree,standard,completed,96,100,100
female,group B,high school,standard,none,74,80,77
female,group C,associate's degree,standard,completed,72,80,85
male,group A,some high school,standard,completed,62,57,58
female,group B,some high school,standard,completed,64,72,71
female,group D,some high school,standard,completed,79,83,84
female,group D,associate's degree,free/reduced,none,38,57,57
female,group E,bachelor's degree,standard,completed,86,98,93
male,group B,master's degree,standard,completed,91,99,93
male,group C,master's degree,free/reduced,completed,87,86,89
female,group E,some high school,standard,completed,87,96,91
female,group C,bachelor's degree,free/reduced,none,60,75,74
female,group D,some college,standard,completed,81,85,95
female,group C,associate's degree,standard,none,55,54,59
female,group E,some high school,standard,completed,66,70,74
female,group D,associate's degree,free/reduced,none,59,77,75
male,group C,associate's degree,standard,completed,80,79,79
female,group B,high school,free/reduced,none,53,63,59
female,group C,high school,free/reduced,none,48,63,60
male,group B,high school,standard,none,48,40,37
female,group C,master's degree,standard,none,93,100,98
male,group D,some high school,free/reduced,none,81,84,77
male,group E,high school,free/reduced,completed,75,64,63
male,group C,some college,standard,none,62,62,59
female,group C,bachelor's degree,standard,completed,95,94,100
female,group E,some college,free/reduced,none,35,35,35
male,group B,associate's degree,standard,completed,75,77,80
female,group C,master's degree,standard,completed,75,76,82
male,group E,some high school,standard,none,67,54,55
female,group E,high school,free/reduced,none,49,66,61
female,group C,associate's degree,standard,completed,84,100,100
male,group B,some high school,standard,none,86,72,73
male,group A,some college,standard,none,67,60,59
male,group B,associate's degree,standard,none,43,50,43
female,group B,associate's degree,free/reduced,none,60,68,64
female,group D,some high school,standard,none,81,89,85
male,group B,high school,standard,none,77,79,68
male,group D,some high school,standard,completed,78,79,72
female,group D,high school,standard,completed,80,87,93
female,group D,bachelor's degree,standard,completed,78,96,97
female,group A,high school,free/reduced,none,18,30,33
male,group D,high school,standard,none,57,54,48
male,group B,some college,standard,completed,83,75,77
female,group C,bachelor's degree,free/reduced,none,60,67,64
female,group D,master's degree,standard,none,66,77,75
male,group D,master's degree,free/reduced,none,84,90,88
female,group E,some high school,standard,none,51,52,43
male,group A,some college,free/reduced,completed,89,85,81
female,group A,some high school,standard,none,72,80,71
female,group E,some high school,standard,none,51,61,56
female,group B,bachelor's degree,free/reduced,none,44,55,53
female,group D,associate's degree,standard,none,65,69,71
female,group E,high school,standard,none,68,69,65
female,group D,some college,standard,none,65,65,64
male,group D,master's degree,free/reduced,none,54,49,55
male,group A,some high school,standard,none,43,43,37
female,group B,high school,standard,none,57,78,70
male,group D,some college,standard,none,84,78,76
female,group C,some high school,standard,none,43,57,54
female,group C,high school,standard,none,60,67,67
female,group B,high school,free/reduced,none,40,54,56
male,group C,high school,standard,completed,53,47,53
male,group C,high school,standard,completed,92,88,85
male,group B,associate's degree,free/reduced,completed,83,85,81
male,group C,some college,standard,none,87,79,77
male,group C,some college,free/reduced,completed,33,37,38
female,group A,some high school,standard,none,30,45,45
male,group C,associate's degree,standard,completed,69,67,71
male,group E,some high school,free/reduced,none,63,44,45
male,group C,some college,standard,completed,74,63,58
male,group B,some college,standard,none,61,65,50
male,group C,some college,standard,none,76,67,60
male,group B,high school,standard,none,64,59,52
female,group D,some college,free/reduced,none,76,92,90
female,group A,some high school,standard,none,41,41,44
male,group D,some college,standard,completed,69,52,58
male,group C,some high school,free/reduced,completed,52,53,59
female,group C,some high school,standard,none,58,63,62
male,group C,associate's degree,free/reduced,completed,48,46,46
female,group D,associate's degree,standard,completed,84,80,91
male,group E,associate's degree,free/reduced,completed,100,99,91
male,group C,associate's degree,free/reduced,none,55,51,47
male,group C,some college,standard,none,76,68,60
male,group B,associate's degree,standard,none,79,76,69
female,group B,high school,standard,none,38,47,40
female,group C,master's degree,standard,none,57,69,62
female,group B,some college,standard,completed,70,81,86
male,group C,associate's degree,standard,completed,81,72,80
female,group D,high school,standard,completed,69,73,74
female,group E,high school,standard,none,68,76,76
female,group E,master's degree,free/reduced,none,45,55,58
female,group C,bachelor's degree,free/reduced,none,34,35,36
female,group A,some high school,standard,none,66,65,69
female,group E,associate's degree,free/reduced,none,52,68,65
female,group D,some college,standard,none,80,73,80
female,group D,associate's degree,standard,none,85,96,94
female,group C,high school,standard,none,48,57,58
